qid,n_hits,n_relevant_qrel,n_relevant_in_hits,best_rank,found_in_top_k
302137,1000,1,1,36.0,True
302193,1000,1,1,461.0,True
302216,1000,1,0,,False
302470,1000,1,0,,False
302497,1000,1,1,208.0,True
302641,1000,1,1,168.0,True
302839,1000,1,1,158.0,True
302862,1000,1,1,133.0,True
302901,1000,1,1,90.0,True
302906,1000,1,0,,False
302923,1000,1,1,3.0,True
302928,1000,1,0,,False
302981,1000,1,1,9.0,True
303079,1000,1,0,,False
30310,1000,1,1,23.0,True
303205,1000,1,1,43.0,True
303317,1000,1,1,106.0,True
303415,1000,1,0,,False
303424,1000,1,1,346.0,True
303714,1000,1,1,317.0,True
303756,1000,1,0,,False
303933,1000,1,1,380.0,True
304129,1000,1,1,799.0,True
304305,1000,1,1,51.0,True
30443,1000,1,1,49.0,True
304504,1000,1,0,,False
304536,1000,2,2,45.0,True
304553,1000,1,0,,False
304556,1000,1,0,,False
304796,1000,1,1,23.0,True
305035,1000,1,0,,False
30507,1000,1,1,2.0,True
305154,1000,1,0,,False
305278,1000,1,1,1.0,True
305311,1000,1,1,712.0,True
305329,1000,1,0,,False
30549,1000,1,0,,False
305630,1000,1,0,,False
305699,1000,1,1,55.0,True
305736,1000,1,0,,False
305999,1000,1,0,,False
306185,1000,1,1,144.0,True
306315,1000,1,0,,False
306398,1000,1,0,,False
306492,1000,1,1,165.0,True
306973,1000,1,1,61.0,True
307178,1000,1,0,,False
307184,1000,1,0,,False
307200,1000,1,1,861.0,True
307296,1000,1,0,,False
307378,1000,1,1,148.0,True
307398,1000,1,1,4.0,True
307413,1000,1,1,415.0,True
307555,1000,1,1,287.0,True
307603,1000,1,1,1.0,True
307638,1000,1,0,,False
307751,1000,1,1,364.0,True
307791,1000,1,1,20.0,True
307979,1000,1,1,16.0,True
308283,1000,1,1,15.0,True
308442,1000,1,0,,False
30847,1000,1,1,287.0,True
308544,1000,1,0,,False
308573,1000,1,0,,False
30873,1000,1,1,121.0,True
308752,1000,1,1,74.0,True
308760,1000,1,1,362.0,True
308889,1000,1,1,480.0,True
308945,1000,1,0,,False
309051,1000,1,0,,False
309192,1000,1,0,,False
309373,1000,1,1,163.0,True
309621,1000,1,1,25.0,True
310062,1000,1,1,25.0,True
310095,1000,1,0,,False
310293,1000,1,0,,False
310354,1000,1,1,76.0,True
31039,1000,1,0,,False
310622,1000,1,1,12.0,True
310683,1000,1,0,,False
311101,1000,1,0,,False
311223,1000,1,0,,False
311426,1000,1,1,42.0,True
311427,1000,1,0,,False
311431,1000,1,0,,False
31151,1000,1,1,1.0,True
311931,1000,1,1,136.0,True
312050,1000,1,0,,False
31232,1000,1,1,195.0,True
312423,1000,1,0,,False
312505,1000,1,0,,False
312562,1000,1,1,1.0,True
312714,1000,1,0,,False
312716,1000,1,1,759.0,True
312811,1000,1,0,,False
312869,1000,1,1,147.0,True
312971,1000,1,0,,False
313070,1000,1,0,,False
313267,1000,1,1,6.0,True
313446,1000,1,1,38.0,True
313555,1000,1,1,219.0,True
313733,1000,1,1,35.0,True
313990,1000,1,1,10.0,True
314004,1000,1,1,6.0,True
314034,1000,1,1,469.0,True
314095,1000,1,1,5.0,True
314142,1000,1,1,6.0,True
314162,1000,1,1,47.0,True
314256,1000,1,1,92.0,True
314427,1000,1,1,558.0,True
314438,1000,1,1,71.0,True
314493,1000,1,0,,False
314637,1000,1,1,470.0,True
314707,1000,1,1,51.0,True
315021,1000,1,1,845.0,True
315025,1000,1,0,,False
315152,1000,3,0,,False
315200,1000,1,0,,False
315487,1000,1,1,16.0,True
315603,1000,1,1,3.0,True
31571,1000,1,1,620.0,True
315751,1000,1,0,,False
315784,1000,1,0,,False
315865,1000,1,1,53.0,True
315977,1000,1,0,,False
316051,1000,1,1,967.0,True
316118,1000,1,0,,False
31623,1000,1,1,9.0,True
316322,1000,1,1,299.0,True
31634,1000,1,0,,False
316368,1000,1,1,57.0,True
316427,1000,1,1,516.0,True
316758,1000,1,0,,False
316830,1000,1,0,,False
316999,1000,1,1,8.0,True
317042,1000,1,0,,False
317080,1000,1,1,558.0,True
317131,1000,1,0,,False
317149,1000,1,1,20.0,True
317291,1000,1,1,2.0,True
317463,1000,1,1,121.0,True
317526,1000,1,1,85.0,True
317622,1000,1,1,346.0,True
317699,1000,1,1,6.0,True
317911,1000,1,0,,False
317968,1000,1,1,860.0,True
318039,1000,1,0,,False
318098,1000,1,1,4.0,True
318159,1000,1,1,2.0,True
318205,1000,1,0,,False
318229,1000,1,1,9.0,True
318428,1000,1,0,,False
318480,1000,1,0,,False
318482,1000,1,1,114.0,True
318520,1000,1,1,130.0,True
318611,1000,1,0,,False
31869,1000,1,1,2.0,True
318778,1000,1,0,,False
318896,1000,1,0,,False
319030,1000,2,0,,False
319209,1000,1,1,9.0,True
319225,1000,1,1,19.0,True
319236,1000,1,0,,False
31925,1000,1,1,3.0,True
319398,1000,2,1,33.0,True
319415,1000,1,1,21.0,True
319685,1000,1,1,74.0,True
319764,1000,1,1,131.0,True
319875,1000,1,1,838.0,True
319917,1000,1,1,183.0,True
320147,1000,1,1,259.0,True
320181,1000,1,1,48.0,True
320190,1000,1,1,2.0,True
320414,1000,1,1,355.0,True
320463,1000,1,1,37.0,True
320509,1000,1,0,,False
320703,1000,1,1,165.0,True
320743,1000,2,1,100.0,True
320805,1000,1,1,48.0,True
320825,1000,1,1,166.0,True
321119,1000,1,1,19.0,True
321161,1000,1,1,272.0,True
321173,1000,1,1,35.0,True
321402,1000,1,1,202.0,True
321444,1000,1,0,,False
321680,1000,1,0,,False
321719,1000,1,0,,False
32178,1000,1,0,,False
32196,1000,1,1,33.0,True
322007,1000,1,1,1.0,True
322077,1000,1,0,,False
322210,1000,1,1,272.0,True
322262,1000,1,0,,False
322339,1000,1,1,67.0,True
322399,1000,1,1,2.0,True
322595,1000,1,1,4.0,True
322643,1000,1,1,73.0,True
322755,1000,1,1,120.0,True
323032,1000,1,1,152.0,True
323077,1000,1,0,,False
323093,1000,1,0,,False
323127,1000,1,1,2.0,True
323256,1000,1,1,589.0,True
323590,1000,1,0,,False
32401,1000,1,1,135.0,True
324106,1000,1,1,9.0,True
324146,1000,1,1,186.0,True
324655,1000,1,1,220.0,True
324668,1000,1,0,,False
324673,1000,1,1,41.0,True
324727,1000,1,1,261.0,True
324812,1000,1,0,,False
324834,1000,1,1,361.0,True
325059,1000,1,0,,False
325114,1000,1,1,581.0,True
325203,1000,1,0,,False
325325,1000,1,1,1.0,True
325374,1000,1,0,,False
325411,1000,1,0,,False
325412,1000,1,1,824.0,True
325493,1000,1,1,1.0,True
325793,1000,1,0,,False
325848,1000,1,1,2.0,True
325859,1000,1,0,,False
326018,1000,1,1,10.0,True
326089,1000,1,1,155.0,True
326162,1000,1,1,10.0,True
326478,1000,1,1,101.0,True
32660,1000,1,1,5.0,True
326907,1000,1,0,,False
327262,1000,1,0,,False
327273,1000,1,1,1.0,True
327467,1000,1,0,,False
327720,1000,1,0,,False
327893,1000,1,1,597.0,True
327923,1000,1,1,4.0,True
327974,1000,1,0,,False
327983,1000,1,1,415.0,True
328173,1000,1,1,291.0,True
328187,1000,1,0,,False
328231,1000,1,1,181.0,True
328264,1000,1,0,,False
328331,1000,1,1,3.0,True
328594,1000,1,1,83.0,True
328954,1000,1,1,60.0,True
32940,1000,1,1,259.0,True
329455,1000,1,1,4.0,True
329581,1000,1,1,1.0,True
329637,1000,1,1,15.0,True
330124,1000,1,1,129.0,True
330211,1000,1,0,,False
330366,1000,1,1,10.0,True
33042,1000,1,1,7.0,True
33063,1000,1,1,6.0,True
330641,1000,1,0,,False
330644,1000,1,0,,False
330674,1000,1,1,704.0,True
330843,1000,1,0,,False
330892,1000,1,0,,False
330907,1000,1,0,,False
330945,1000,1,0,,False
330980,1000,1,1,119.0,True
33151,1000,1,0,,False
331549,1000,1,0,,False
331552,1000,1,1,154.0,True
331697,1000,1,0,,False
331808,1000,1,1,342.0,True
332033,1000,1,1,55.0,True
332072,1000,1,0,,False
332085,1000,1,0,,False
332097,1000,1,0,,False
332217,1000,1,1,2.0,True
332433,1000,1,0,,False
332542,1000,1,0,,False
332543,1000,1,1,31.0,True
332585,1000,1,1,3.0,True
332844,1000,1,1,66.0,True
332867,1000,1,0,,False
332919,1000,1,1,1.0,True
332964,1000,1,0,,False
333017,1000,1,1,57.0,True
333179,1000,1,0,,False
333279,1000,1,1,68.0,True
333449,1000,1,0,,False
333571,1000,1,1,47.0,True
333578,1000,1,0,,False
333640,1000,1,1,442.0,True
33368,1000,1,1,4.0,True
333716,1000,1,1,154.0,True
33383,1000,1,1,2.0,True
333858,1000,1,1,36.0,True
333885,1000,1,1,1.0,True
333910,1000,1,1,20.0,True
334017,1000,1,1,16.0,True
334030,1000,1,1,12.0,True
334056,1000,1,1,277.0,True
334141,1000,1,1,32.0,True
334148,1000,1,1,170.0,True
334284,1000,1,1,1.0,True
334699,1000,1,1,1.0,True
334828,1000,1,1,8.0,True
334854,1000,1,1,36.0,True
335049,1000,1,1,5.0,True
335191,1000,1,1,1.0,True
335298,1000,1,1,4.0,True
335353,1000,1,1,5.0,True
33536,1000,1,1,7.0,True
335533,1000,1,1,1.0,True
335551,1000,1,1,1.0,True
335912,1000,1,1,3.0,True
335914,1000,1,1,1.0,True
336051,1000,1,1,10.0,True
336063,1000,1,1,25.0,True
336338,1000,1,1,1.0,True
336347,1000,1,1,1.0,True
336643,1000,1,1,87.0,True
336853,1000,1,0,,False
336972,1000,1,1,2.0,True
337011,1000,1,1,248.0,True
337314,1000,1,1,21.0,True
33743,1000,1,1,44.0,True
337443,1000,1,1,7.0,True
337547,1000,1,0,,False
337677,1000,1,1,2.0,True
338047,1000,1,1,20.0,True
338059,1000,1,0,,False
338086,1000,1,1,70.0,True
338146,1000,1,0,,False
338196,1000,1,1,72.0,True
338318,1000,1,1,9.0,True
338395,1000,1,1,848.0,True
338581,1000,1,1,73.0,True
338605,1000,2,2,7.0,True
338831,1000,1,1,97.0,True
3389,1000,1,1,296.0,True
338986,1000,1,1,2.0,True
339071,1000,1,0,,False
339084,1000,1,1,687.0,True
33923,1000,1,1,58.0,True
339382,1000,1,1,17.0,True
339489,1000,1,1,78.0,True
339537,1000,1,1,26.0,True
339545,1000,1,0,,False
339701,1000,1,1,10.0,True
339966,1000,1,1,8.0,True
339971,1000,1,0,,False
340072,1000,1,1,61.0,True
34011,1000,1,1,7.0,True
340118,1000,1,1,3.0,True
340187,1000,2,1,590.0,True
340300,1000,1,1,4.0,True
340467,1000,1,0,,False
340514,1000,1,0,,False
340532,1000,1,0,,False
340715,1000,1,1,1.0,True
340801,1000,1,1,3.0,True
340959,1000,1,1,3.0,True
341058,1000,1,1,6.0,True
34108,1000,1,1,304.0,True
341097,1000,1,1,46.0,True
341238,1000,1,1,1.0,True
341258,1000,1,1,4.0,True
341628,1000,1,1,30.0,True
34168,1000,1,0,,False
341714,1000,1,1,1.0,True
341806,1000,1,1,25.0,True
342140,1000,1,1,27.0,True
342198,1000,1,1,1.0,True
342396,1000,1,1,19.0,True
342527,1000,1,0,,False
342722,1000,1,1,6.0,True
342877,1000,1,1,29.0,True
34288,1000,1,1,431.0,True
343037,1000,1,0,,False
343362,1000,1,1,159.0,True
34368,1000,1,1,1.0,True
34370,1000,1,1,1.0,True
343870,1000,1,0,,False
34388,1000,1,1,220.0,True
343942,1000,1,1,536.0,True
344069,1000,1,1,13.0,True
34411,1000,1,1,52.0,True
344508,1000,1,1,4.0,True
345093,1000,1,1,3.0,True
345124,1000,1,0,,False
345238,1000,1,1,26.0,True
345265,1000,1,1,954.0,True
345288,1000,1,1,855.0,True
345682,1000,1,1,1.0,True
345766,1000,1,1,38.0,True
34585,1000,1,1,108.0,True
346383,1000,1,1,11.0,True
347060,1000,1,1,412.0,True
347140,1000,1,1,8.0,True
347160,1000,1,1,222.0,True
34724,1000,1,1,516.0,True
347344,1000,1,1,673.0,True
34737,1000,1,1,30.0,True
347409,1000,1,1,190.0,True
347931,1000,1,1,783.0,True
348060,1000,1,1,11.0,True
